sr_no,disco,feeder_name,grid_station,schedule_type,slot_start,slot_end,duration_hours,raw_slot,source_file,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
4,F-6,SHAKAR ULLAH (F-6/1),86402,6HR,19:00,20:00,1.0,19--20,islamabad.xlsx,28.0,28.0,26.3,0.0,6.9,15.3,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,6HR,23:00,00:00,1.0,23--24,islamabad.xlsx,20.9,50.8,20.1,0.0,5.9,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,00:00,01:00,1.0,00--01,islamabad.xlsx,19.7,53.2,18.9,0.0,5.4,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,03:00,04:00,1.0,03--04,islamabad.xlsx,18.0,56.3,17.2,0.0,4.0,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,06:00,07:00,1.0,06--07,islamabad.xlsx,19.0,56.1,18.2,0.0,5.1,5.3,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,09:00,10:00,1.0,09--10,islamabad.xlsx,28.8,29.7,27.7,0.0,5.8,468.7,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,15:00,16:00,1.0,15--16,islamabad.xlsx,33.6,19.6,31.9,0.1,9.0,588.3,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,18:00,19:00,1.0,18--19,islamabad.xlsx,30.8,24.5,29.0,0.0,7.6,129.6,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,8HR,21:00,22:00,1.0,21--22,islamabad.xlsx,23.5,41.2,22.4,0.0,5.8,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,10HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,10HR,04:00,05:00,1.0,04--05,islamabad.xlsx,17.6,57.0,16.8,0.0,3.8,0.0,0.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,10HR,07:00,08:00,1.0,07--08,islamabad.xlsx,21.4,49.4,20.7,0.0,5.1,92.4,1.0
4,F-6,SHAKAR ULLAH (F-6/1),86402,10HR,10:00,11:00,1.0,10--11,islamabad.xlsx,31.4,23.6,30.4,0.0,7.4,651.1,1.0
